ID,SampleName,Replica,Date,SampleType
NP1_1,NP1,1,20180717,Pool
NP1_2,NP1,2,20180717,Pool
NP1_3,NP1,3,20180717,Pool
NP1_4,NP1,4,20180717,Pool
NP1_5,NP1,5,20180717,Pool
NP2_1,NP2,1,20180718,Pool
NP2_2,NP2,2,20180718,Pool
NP2_3,NP2,3,20180718,Pool
NP2_4,NP2,4,20180718,Pool
NP2_5,NP2,5,20180718,Pool
NP3_1,NP3,1,20180724,Pool
NP3_2,NP3,2,20180724,Pool
NP3_3,NP3,3,20180724,Pool
NP3_4,NP3,4,20180724,Pool
NP3_5,NP3,5,20180724,Pool
NP4_1,NP4,1,20180725,Pool
NP4_2,NP4,2,20180725,Pool
NP4_3,NP4,3,20180725,Pool
NP4_4,NP4,4,20180725,Pool
NP4_5,NP4,5,20180725,Pool
NP5_1,NP5,1,20180726,Pool
NP5_2,NP5,2,20180726,Pool
NP5_3,NP5,3,20180726,Pool
NP5_4,NP5,4,20180726,Pool
NP5_5,NP5,5,20180726,Pool
NP6_1,NP6,1,20180728,Pool
NP6_2,NP6,2,20180728,Pool
NP6_3,NP6,3,20180728,Pool
NP6_4,NP6,4,20180728,Pool
NP6_5,NP6,5,20180728,Pool
